MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,price_per_sqft,tax_price_ratio,HOA_category
21324339,2600000.0,85739,-110.883239,32.50904,0.0,17567.18,2008-01-01,3,3.0,3095.0,0.0,"Dishwasher, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",0.0,840.064620355412,0.0067566076923076925,No HOA
21207846,2600000.0,85739,-110.883065,32.508778,0.0,8753.35,2008-01-01,3,3.0,3095.0,0.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",0.0,840.064620355412,0.003366673076923077,No HOA
21301309,2000000.0,85750,-110.848679,32.321134,0.64,11322.0,2001-01-01,5,6.0,7471.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone, Wood, Other",123.0,267.7017802168384,0.005661,Medium
21503191,2400000.0,85718,-110.918097,32.337925,3.42,22655.99,2005-01-01,4,7.0,6356.0,4.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood",421.0,377.5959723096287,0.009439995833333334,High
21701192,2400000.0,85750,-110.809735,32.280309,0.64,13519.82,1998-01-01,3,4.0,4651.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Marble",3.0,"Carpet, Ceramic Tile, Natural Stone",300.0,516.0180606321221,0.0056332583333333335,Medium
21828650,2550000.0,85718,-110.922044,32.290263,2.84,22070.48,2004-01-01,5,8.0,8110.0,4.0,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Countertops: granite",6.0,"Carpet, Concrete, Natural Stone, Wood",194.0,314.42663378545006,0.008655090196078432,Medium
21332804,2175000.0,85718,-110.910663,32.338282,1.27,21795.32,1997-01-01,5,6.0,7132.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave",2.0,"Carpet, Natural Stone",422.0,304.9635445877734,0.010020836781609196,High
21906412,2350000.0,85750,-110.858327,32.331597,1.55,5931.0,2018-01-01,6,6.0,6083.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless",3.0,Natural Stone,240.0,386.3225382212724,0.0025238297872340427,Medium
21903141,2100000.0,85718,-110.913573,32.337226,1.01,5785.0,2019-01-01,4,5.0,5767.0,3.0,"Desk, Dishwasher, Double Sink, Freezer, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite & Quartz, Microwave: Stainless, Oven: Stainless",3.0,"Carpet, Other: Porcelain",437.0,364.14080110976244,0.002754761904761905,High
21402096,1900000.0,85750,-110.84391,32.32846,1.16,16714.0,2002-01-01,4,4.0,5333.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",112.0,356.27226701668855,0.008796842105263158,Medium
21120740,2050000.0,85718,-110.945806,32.353228,3.22,26856.69,2010-01-01,4,6.0,6226.0,5.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Other",199.0,329.264375200771,0.013100824390243902,Medium
21032556,2150000.0,85718,-110.915749,32.338765,1.91,20960.92,2000-01-01,4,6.0,6224.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Other",357.0,345.4370179948586,0.00974926511627907,High
21728051,2200000.0,85750,-110.843873,32.328339,2.2,20084.0,2002-01-01,4,4.0,5333.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Refrigerator, Appliance Color: Stainless, Countertops: Granite",2.0,"Carpet, Natural Stone",178.0,412.52578286142887,0.00912909090909091,Medium
21221120,2224506.0,85658,-111.096767,32.467444,0.77,1286.59,2012-01-01,3,4.0,4724.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",550.0,470.89458086367483,0.0005783711080122958,High
21801268,2152700.0,85718,-110.885186,32.327916,1.55,16052.89,2009-01-01,5,7.0,6755.0,3.0,"Dishwasher, Double Sink, Gas Range, Indoor Grill, Pantry: Butler, Prep Sink, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: stainless, Oven: stainless",4.0,"Carpet, Natural Stone, Wood",258.0,318.68245743893414,0.0074570957402331954,Medium
